Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University  ,School ,Pos_Rank,Reg_Rank,State_Rank, Pos, City, State, Height, Weight, Stars, Grade, University
Jared Pickett,ATH,Marshall,TX,5'9'',178,Houston  ,,178,,,2009,Houston,71.0,,,,,,,,,,,,,,,
Kelvin King,OLB,Galveston,TX,6'2'',220,Houston  ,,153,,,2009,Houston,69.0,,,,,,,,,,,,,,,
Ralph Oragwu,OG,Missouri City,TX,6'4'',265,Houston  ,,198,432,NR,2009,Houston,69.0,,,,,,,,,,,,,,,
Phillip Steward,OLB,Missouri City,TX,6'1'',203,Houston  ,,,,,2009,Houston,67.0,,,,,,,,,,,,,,,
Darryl Jackson,DT,Houston,TX,6'4'',280,Houston  ,,,,,2009,Houston,,,,,,,,,,,,,,,,
Steven Robertson,ILB,Cleveland,TX,6'1'',225,Houston  ,,NR,,,2009,Houston,,,,,,,,,,,,,,,,
Zeke Riser,DE,La Vernia,TX,6'4'',235,Houston  ,,,,,2009,Houston,,,,,,,,,,,,,,,,
George Bamfo,OLB,Rockwall,TX,5'11'',200,Houston  ,,,,,2009,Houston,,,,,,,,,,,,,,,,
Jeffery Lewis,RB,Houston,TX,5'9'',180,Houston  ,,,,,2009,Houston,,,,,,,,,,,,,,,,
Jarve Dean,OG,Houston,TX,6'3'',340,Houston  ,,NR,,,2009,Houston,,,,,,,,,,,,,,,,
Devin Mays,CB,Stockton,CA,5'11'',170,Houston  ,,,,,2009,Houston,,,,,,,,,,,,,,,,
Roy Watts,OT,Houston,TX,6'6'',320,Houston  ,,,,,2009,Houston,,,,,,,,,,,,,,,,
Jacky Candy,CB,Fort Lauderdale,FL,5'11'',195,Houston  ,,,,,2009,Houston,,,,,,,,,,,,,,,,
James Cleveland,WR,Baytown,TX,6'1'',195,Houston ,,,,,2009,Houston,,,,,,,,,,,,,,,,
DeAndre Perry,WR,Austin,TX,6'3'',210,Houston ,,48,,,2010,Houston,78, None, None,,,,,,,,,,,,,
Terrance Broadway,ATH,Baton Rouge,LA,6'1'',197,Houston ,,,,,2010,Houston,78, None, None,,,,,,,,,,,,,
Jordan Jolly,WR,Missouri City,TX,6'1'',170,Houston ,,77,,,2010,Houston,77,,,,,,,,,,,,,,,
Rowdy Harper,OT,Broken Arrow,OK,6'6'',275,Houston ,,54,,,2010,Houston,77,,,,,,,,,,,,,,,
Kent Brooks,S,Humble,TX,5'10'',199,Houston ,,,,,2010,Houston,77, None, None,,,,,,,,,,,,,
Austin Lunsford,OG,Garrison,TX,6'2'',292,Houston ,,44,,,2010,Houston,77,,,,,,,,,,,,,,,
Steven Hopper,RB,Broken Arrow,OK,6'0'',190,Houston ,,NR,,,2010,Houston,76, NR, None,,,,,,,,,,,,,
Darian Lazard,ATH,Pearland,TX,6'0'',165,Houston ,,117,,,2010,Houston,76,,,,,,,,,,,,,,,
Alton Demby,S,Galena Park,TX,5'9'',169,Houston ,,,,,2010,Houston,76,,,,,,,,,,,,,,,
Kenneth Bibbins,TE,Sugar Land,TX,6'4'',215,Houston ,,32,,,2010,Houston,75, None, None,,,,,,,,,,,,,
Zach McMillian,CB,Sugar Land,TX,5'10'',151,Houston ,,66,,,2010,Houston,75,,,,,,,,,,,,,,,
Rodney Williams,DT,Dallas,TX,6'0'',253,Houston ,,NR,,,2010,Houston,75, NR, None,,,,,,,,,,,,,
Efrem Oliphant,OLB,Houston,TX,6'1'',204,Houston ,,,,,2010,Houston,74,115, None,,,,,,,,,,,,,
Bryce Redman,OG,Longview,TX,6'2'',253,Houston ,,88,,,2010,Houston,74,,,,,,,,,,,,,,,
Dominique Sanders,ATH,Fort Worth,TX,6'0'',190,Houston ,,NR,,,2010,Houston,74,,,,,,,,,,,,,,,
Xavier Brown,RB,Pearland,TX,6'0'',193,Houston ,,137,,,2010,Houston,74, NR, NR,,,,,,,,,,,,,
Jon Witten,OLB,Houston,TX,6'2'',205,Houston ,,130,,,2010,Houston,73,,,,,,,,,,,,,,,
Aaron Johnson,QB,Longview,TX,6'1'',175,Houston ,,113,,,2010,Houston,73,,,,,,,,,,,,,,,
Richie Leone,K,Roswell,GA,6'3'',190,Houston ,,32,,,2010,Houston,73,,,,,,,,,,,,,,,
Chris Hill,OT,Houston,TX,6'5'',251,Houston,,,,,2010,Houston,71, None, None,,,,,,,,,,,,,
Bram Kohlhausen,QB,Houston,TX,6'1'',200,Lamar High School,,,,,2011,Houston,78.0, None, None,,,,,,,,,,,,,
C.J. McElroy,ATH,League City,TX,5'9'',170,Clear Creek High,,100,,,2011,Houston,77.0,175,136,,,,,,,,,,,,,
Derrick Matthews,OLB,Galena Park,TX,6'0'',190,North Shore High School,,103,,,2011,Houston,76.0,,,,,,,,,,,,,,,
Joey Mbu,DT,Richmond,TX,6'3'',299,Foster High School,,239,,,2011,Houston,75.0,96,184,,,,,,,,,,,,,
Kourtlandt Akins,OG,Houston,TX,6'4'',300,Lamar High School,,65,,,2011,Houston,75.0,245,188,,,,,,,,,,,,,
Earl Foster,S,Houston,TX,5'11'',190,Lamar High School,,255,,,2011,Houston,75.0,,,,,,,,,,,,,,,
Kenneth Farrow,RB,Hurst,TX,5'10'',195,L. D. Bell High School,,115,,,2011,Houston,75.0,259,199,,,,,,,,,,,,,
Keithen English,OG,Dallas,TX,6'3'',285,A. Maceo Smith School,,97,,,2011,Houston,74.0,320,243,,,,,,,,,,,,,
Daniel Spencer,ATH,Grandview,TX,5'11'',185,Grandview High School,,170,,,2011,Houston,73.0,,,,,,,,,,,,,,,
Mark Roberts,WR,Orange,TX,6'2'',175,West Orange-Stark High School,,180,,,2011,Houston,73.0,352,268,,,,,,,,,,,,,
Desmond Pulliam,ILB,Louise,TX,6'0'',220,Louise High School,,79,,,2011,Houston,70.0,,,,,,,,,,,,,,,
Zachary Johnson,OT,Norman,OK,6'6'',292,Houston,,216,,,2011,Houston,, NR, NR,,,,,,,,,,,,,
Emeka Okafor,OT,Sunnyvale,TX,6'5'',320,Houston,,216,,,2011,Houston,, NR, NR,,,,,,,,,,,,,
William Moore,DE,Houston,TX,6'2'',210,Houston,,238,,,2011,Houston,, None, None,,,,,,,,,,,,,
