Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Jacques Patrick,RB,Orlando,FL,6'3'',233,4,86,Florida State,4,,,2015,Florida State,30,15
Abdul Bello,OT,Montverde,FL,6'6'',293,4,85,Florida State,9,,,2015,Florida State,,
Marcus Lewis,S,Washington,DC,6'2'',187,4,82,Florida State,18,,,2015,Florida State,20,8
Darvin Taylor II,DT,Chester,VA,6'2'',300,4,82,Florida State,3,,,2015,Florida State,,
De'Andre Johnson,QB-DT,Jacksonville,FL,6'0'',173,3,81,Florida State,9,,,2015,Florida State,,
Lorenzo Phillips,OLB,Patterson,LA,6'3'',225,3,81,Florida State,35,,,2015,Florida State,202,43
Jalen Wilkerson,TE-Y,Douglas,GA,6'4'',225,3,80,Florida State,29,,,2015,Florida State,217,
Cole Minshew,OG,Douglas,GA,6'6'',319,3,80,Florida State,65,,,2015,Florida State,231,77
Calvin Brewton,S,Miami,FL,6'0'',173,3,80,Florida State,35,,,2015,Florida State,239,79
Sh'mar Kilby-Lane,ILB,Hallandale Beach,FL,6'2'',215,3,79,Florida State,39,,,2015,Florida State,59,13
Nyqwan Murray,WR,Orlando,FL,5'11'',163,3,79,Florida State,77,,,2015,Florida State,256,85
A.J. Westbrook,S,Daytona Beach,FL,6'0'',173,3,79,Florida State,,,,2015,Florida State, None, None
David Robbins,OG,Glenelg,MD,6'4'',290,3,79,Florida State,,,,2015,Florida State, None, None
Auden Tate,WR,Tampa,FL,6'5'',206,3,79,Florida State,,,,2015,Florida State,,
Ethan Frith,OT,Summit,MS,6'7'',336,3,78,Florida State,,,,2015,Florida State,,
Everett Golson,QB-DT,Myrtle Beach,SC,6'0'',200,3,TR,Florida State,,,,2015,Florida State,,
Marvin Wilson,DT,Houston,TX,6'4'',332,5,92,Florida State,4,1,1,2017,Florida State,,
Cam Akers,RB,Clinton,MS,5'11'',213,5,90,Florida State,1,5,1,2017,Florida State,,
Joshua Kaindoh,DE,Bradenton,FL,6'6'',256,5,90,Florida State,13,,,2017,Florida State,,
Khalan Laborn,RB,Virginia Beach,VA,5'10'',199,5,86,Florida State,4,4,1,2017,Florida State,,
Stanford Samuels,CB,Pembroke Pines,FL,6'2'',171,4,85,Florida State,51,,,2017,Florida State,,
D.J. Matthews,WR,Jacksonville,FL,5'10'',150,4,85,Florida State,7,,,2017,Florida State,,
Cyrus Fagan,S,Daytona Beach,FL,6'2'',185,4,84,Florida State,6,,,2017,Florida State,,
Leonard Warner,ILB,Snellville,GA,6'4'',224,4,83,Florida State,2,61,16,2017,Florida State,,
Zaquandre White,RB,North Fort Myers,FL,6'0'',203,4,82,Florida State,147,,,2017,Florida State,,
Ja'len Parks,DT,Newberry,FL,6'4'',304,4,82,Florida State,11,83,21,2017,Florida State,,
Bailey Hockman,QB-PP,Powder Springs,GA,6'2'',192,4,82,Florida State,,,,2017,Florida State,,
Hamsah Nasirildeen,ATH,Concord,NC,6'4'',210,4,82,Florida State,43,140,36,2017,Florida State,,
Tre' McKitty,TE-Y,Bradenton,FL,6'4'',240,4,81,Florida State,31,189,63,2017,Florida State,,
Tamorrion Terry,WR,Ashburn,GA,6'3'',200,3,80,Florida State,32,,,2017,Florida State,,
Cory Durden,DT,Newberry,FL,6'5'',321,3,80,Florida State,1,,37,2017,Florida State,,
Tre Lawson,DE,North Augusta,SC,6'6'',250,3,80,Florida State,12,,,2017,Florida State,,
Adonis Thomas,OLB,Lawrenceville,GA,6'3'',230,3,80,Florida State,53,274,63,2017,Florida State,,
Alexander Marshall,TE-Y,Andover,MA,6'7'',240,3,79,Florida State,24,282,100,2017,Florida State,,
Brady Scott,OT,Kennesaw,GA,6'5'',255,3,78,Florida State,64,,,2017,Florida State,,
James Blackman,QB-PP,Belle Glade,FL,6'3'',160,3,78,Florida State,,,,2017,Florida State,,
Ontario Wilson,CB,Ashburn,GA,5'11'',175,3,77,Florida State,,,,2017,Florida State,,
Decalon Brooks,OLB,Tampa,FL,5'10'',197,3,73,Florida State,,,,2017,Florida State,,
Asante Samuel Jr.,CB,Fort Lauderdale,FL,5'10'',170,,89,Florida State,3,,,2018,Florida State,10,5
A.J. Lytton,CB,Upper Marlboro,MD,5'11'',173,,87,Florida State,,,,2018,Florida State,,
