Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,Stars,School
Trent Broadnax,WR,Savannah,GA,6'1'',190,75.0,Duke,171,,,2021,Duke,511,110,,
Jaquez Moore,ATH,Live Oak,FL,5'11'',185,75.0,Duke,102,,,2021,Duke,545,175,,
Justin Pickett,OT,Carmel,IN,6'7'',315,74.0,Duke,120,,,2021,Duke,174,22,,
Mandela Tobin,DT,San Diego,CA,6'4'',270,73.0,Duke,97,,,2021,Duke,207,123,,
Trey Brown,OLB,Phoenix,AZ,6'3'',205,73.0,Duke,155,,,2021,Duke,,,,
Ja'Mion Franklin,DT,Ridgely,MD,6'1'',290,,Duke,,,,2021,Duke,,,,
Kade Parmelly,OG,Abilene,TX,6'2'',310,,Duke,,,,2021,Duke,,,,
Scott Boylan,WR,Bakersfield,CA,5'10'',190,,Duke,,,,2021,Duke,,,,
Brian Foley,OG,Hinsdale,IL,6'4'',315,,Duke,,,,2021,Duke,,,,
Moussa Kane,ATH,Blairstown,NJ,6'1'',180,Duke,,44,55,10,2023,Duke,,,79.0,
Semaj Turner,DE,Pfafftown,NC,6'2'',240,Duke,,64,246,21,2023,Duke,,,79.0,
Kevin O'Connor,OLB,Easton,MD,6'4'',220,Duke,,25,297,10,2023,Duke,,,78.0,
Grayson Loftis,QB-PP,Gaffney,SC,6'2'',200,Duke,,54,77,13,2023,Duke,,,78.0,
Kendall Johnson,OLB,Gaithersburg,MD,6'1'',190,Duke,,62,340,24,2023,Duke,,,78.0,
DaShawn Stone,S,Asheville,NC,6'2'',185,Duke,,59,92,17,2023,Duke,,,77.0,
Luke Mergott,OLB,Berlin,MD,6'2'',200,Duke,,, None, None,2023,Duke,,,77.0,
Terry Simmons,DT,Savannah,GA,6'2'',300,Duke,,56,,,2023,Duke,,,77.0,
Peyton Jones,RB,Norfolk,VA,5'10'',195,Duke,,398,92,97,2023,Duke,,,77.0,
Quentin Ajiero,CB,Kennesaw,GA,5'11'',180,Duke,,70,,,2023,Duke,,,77.0,
Anthony Boggs,DT,Chattanooga,TN,6'3'',270,Duke,,23,,,2023,Duke,,,76.0,
Vance Bolyard,TE-Y,Greensboro,NC,6'4'',230,Duke,,77,,,2023,Duke,,,76.0,
Leon Griffin III,S,Virginia Beach,VA,5'11'',185,Duke,,147,,,2023,Duke,,,76.0,
Spencer Jones,WR,Olney,MD,6'3'',200,Duke,,112,493,167,2023,Duke,,,76.0,
Kimari Robinson,CB,Fort Lauderdale,FL,6'0'',185,Duke,,77,507,33,2023,Duke,,,76.0,
Reagan McCranie,OG,Forest City,NC,6'3'',285,Duke,,86,279,203,2023,Duke,,,76.0,
Que'Sean Brown,ATH,Kernersville,NC,5'8'',160,Duke,,119,147,37,2023,Duke,,,75.0,
Marquise Collins,RB,College Station,TX,5'9'',195,Duke,,103,,,2023,Duke,,,75.0,
Quran Boyd,ATH,Virginia Beach,VA,5'10'',190,Duke,,123,579,137,2023,Duke,,,75.0,
Ethan Hubbard,OT,Birmingham,AL,6'5'',290,Duke,,,163,45,2023,Duke,,,75.0,
River Hanson,S,College Park,GA,6'1'',200,Duke,,, None, None,2023,Duke,,,75.0,
David Anderson,DE,Hampton,VA,6'3'',240,Duke,,120,,,2023,Duke,,,74.0,
Desmond Aladuge,DE,Milford,DE,6'4'',225,Duke,,214,634,29,2023,Duke,,,74.0,
Caleb Dorris,OT,Nashville,TN,6'5'',240,Duke,,42,,,2023,Duke,,,74.0,
Apollos Cook,WR,West Columbia,SC,6'2'',200,Duke,,,,,2023,Duke,,,74.0,
Vincent Drolet,TE-H,Wallingford,CT,6'5'',220,Duke,,, None, None,2023,Duke,,,74.0,
Jake Hornibrook,OG-TR,Malvern,PA,6'5'',308,Duke,,, None, None,2023,Duke,,,,
Al Blades Jr.,CB-TR,Fort Lauderdale,FL,6'1'',188,Duke,,, None, None,2023,Duke,,,,
Michael Purcell,OG-TR,Dayton,OH,6'4'',328,Duke,,,,,2023,Duke,,,,
Ben Hoitink,OG-TR,Hartford,WI,6'4'',295,Duke,,,,,2023,Duke,,,,
