Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Bryan Murphy,DE,Ramsey,NJ,6'2'',225,,76.0,Pittsburgh,,,,2010,Pittsburgh,,
Brandon Sacco,OT,Ramsey,NJ,6'4'',242,,76.0,Pittsburgh,78,,,2010,Pittsburgh,,
Khaynin Mosley-Smith,DT,Pittsburgh,PA,6'1'',287,,75.0,Pittsburgh,NR,,,2010,Pittsburgh,,
Kevin Weatherspoon,WR,Clairton,PA,5'11'',170,,75.0,Pittsburgh,135,,,2010,Pittsburgh,,
Derrick Burns,ATH,New Wilmington,PA,5'11'',194,,75.0,Pittsburgh,135,,,2010,Pittsburgh,,
Mark Myers,QB,Cleveland,OH,6'4'',195,,74.0,Pittsburgh,,,,2010,Pittsburgh,,
Brendan Carozzoni,TE,Cleveland,OH,6'4'',215,,74.0,Pittsburgh,NR,NR,NR,2010,Pittsburgh,,
K'Wuan Williams,ATH,Montvale,NJ,5'9'',180,,73.0,Pittsburgh,157,,,2010,Pittsburgh,,
Arthur Doakes,OG,Lebanon,PA,6'5'',325,,70.0,Pittsburgh,,,,2010,Pittsburgh,,
Saheed Imoru,CB,Houston,TX,5'10'',180,,,Pittsburgh,,,,2010,Pittsburgh,,
Ejuan Price,ILB,Pittsburgh,PA,6'0'',236,4.0,79,Pittsburgh,12,43,5,2011,Pittsburgh,,
Sam Collura,TE,Hyattsville,MD,,265,2.0,78,Pittsburgh,23,,,2011,Pittsburgh,,
Malcolm Crockett,RB,Washington,DC,,180,2.0,78,Pittsburgh,39,,,2011,Pittsburgh,,
Nicholas Grigsby,OLB,Trotwood,OH,,198,2.0,78,Pittsburgh,67,,,2011,Pittsburgh,,
LaQuentin Smith,S,Orlando,FL,,210,2.0,77,Pittsburgh,45,,,2011,Pittsburgh,,
Darius Patton,WR,Poland,OH,,170,2.0,77,Pittsburgh,84,,,2011,Pittsburgh,,
Roderick Ryles,S,Orlando,FL,,181,2.0,77,Pittsburgh,47,,,2011,Pittsburgh,,
Artie Rowell,OG,Harrisburg,PA,,296,2.0,76,Pittsburgh,57,,,2011,Pittsburgh,,
Jeremiah Bryson,RB,Smyrna,TN,,169,2.0,76,Pittsburgh,,,,2011,Pittsburgh,,
Isaac Bennett,RB,Tulsa,OK,,190,2.0,75,Pittsburgh,,,,2011,Pittsburgh,,
Lafayette Pitts,RB,Pittsburgh,PA,,178,2.0,75,Pittsburgh,96,185,31,2011,Pittsburgh,,
Khaynin Mosley-Smith,DT,Pittsburgh,PA,,275,2.0,75,Pittsburgh,,,,2011,Pittsburgh,,
Jason Frimpong,ATH,Irving,TX,,180,2.0,74,Pittsburgh,148,,,2011,Pittsburgh,,
Corey Davis,RB,Gladewater,TX,,180,2.0,73,Pittsburgh,,,,2011,Pittsburgh,,
Justin Jackson,WR,Daphne,AL,,167,,Pittsburgh,,275,,,2011,Pittsburgh,,
Ronald Jones,WR,Fort Meade,FL,,165,,Pittsburgh,,,275,,2011,Pittsburgh,,
Jevonte Pitts,CB,Pittsburgh,PA,,178,,Pittsburgh,,128,,,2011,Pittsburgh,,
Steve Williams,S,Savannah,GA,,200,,Pittsburgh,,162,,,2011,Pittsburgh,,
Devin Cook,DE,Beaver Falls,PA,,230,,Pittsburgh,,238,,,2011,Pittsburgh,,
Lloyd Carrington,CB,Dallas,TX,,180,,Pittsburgh,,128,,,2011,Pittsburgh,,
Zenel Demhasaj,OT,Brooklyn,NY,,320,,Pittsburgh,,,,,2011,Pittsburgh,,
Rushel Shell,RB,Aliquippa,PA,5'11'',215,3,83,Pittsburgh,3,,,2012,Pittsburgh,5,2
Chad Voytik,QB,Cleveland,TN,6'0'',195,3,80,Pittsburgh,9,,,2012,Pittsburgh,,
Demitrious Davis,ATH,Youngstown,OH,5'9'',185,3,80,Pittsburgh,25,,,2012,Pittsburgh,,
Adam Bisnowaty,OT,Pittsburgh,PA,6'6'',277,3,79,Pittsburgh,30,,,2012,Pittsburgh,34,10
