Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
De'Anthony Thomas,ATH,Los Angeles,CA,5'9'',160,,84.0,Oregon,2,,,2011,Oregon,4,3
Devon Blackmon,ATH,Fontana,CA,6'0'',180,,83.0,Oregon,11,,,2011,Oregon,,
Tacoi Sumler,WR,Miami,FL,5'8'',157,,81.0,Oregon,7,,,2011,Oregon,15,3
Andre Yruretagoyena,OT,Scottsdale,AZ,6'5'',260,,81.0,Oregon,,,,2011,Oregon, None, None
Anthony Wallace,ILB,Dallas,TX,6'1'',220,,80.0,Oregon,26,,,2011,Oregon,,
B.J. Kelley,WR,Fresno,CA,6'2'',172,,80.0,Oregon,17,,,2011,Oregon,33, NR
Tyson Coleman,OLB,Lake Oswego,OR,6'1'',200,,79.0,Oregon,17,,,2011,Oregon,,
Ifo Ekpre-Olomu,CB,Chino Hills,CA,5'9'',180,,79.0,Oregon,33,,,2011,Oregon,,
Christian French,ATH,Cedar Rapids,IA,6'5'',215,,79.0,Oregon,34,,,2011,Oregon,,
Colt Lyerla,ATH,Hillsboro,OR,6'4'',220,,79.0,Oregon,30,,,2011,Oregon,,
Lake Koa-Ka'ai,DE,Honolulu,HI,6'4'',240,,79.0,Oregon,51,,,2011,Oregon,86,10
Rahim Cassell,OLB,Lakewood,CA,6'1'',220,,79.0,Oregon,82,,,2011,Oregon,,
Tyler Johnstone,OT,Chandler,AZ,6'5'',245,,78.0,Oregon,73,,,2011,Oregon,,
Jacob Fisher,OT,Traverse City,MI,6'6'',260,,77.0,Oregon,130,,,2011,Oregon,,
Tra Carson,RB,Texarkana,TX,6'0'',215,,76.0,Oregon,100,,,2011,Oregon,169,15
Rodney Hardrick,OLB,Colton,CA,6'2'',205,,76.0,Oregon,112,,,2011,Oregon,172,113
Sam Kamp,DT,Mesa,AZ,6'5'',240,,75.0,Oregon,164,,,2011,Oregon,276,179
Carlyle Garrick,OLB,Castro Valley,CA,6'2'',210,,75.0,Oregon,172,,,2011,Oregon,312, NR
Jamal Prater,OT,Etiwanda,CA,6'5'',295,,73.0,Oregon,123,,,2011,Oregon,317, None
James Euscher,OT,Beaverton,OR,6'6'',275,,71.0,Oregon,,,,2011,Oregon, None, None
Marcus Mariota,QB,Honolulu,HI,6'3'',186,,71.0,Oregon,,,,2011,Oregon, None, None
Rahsaan Vaughn,WR,San Mateo,CA,6'1'',190,,,Oregon,,,,2011,Oregon,,
Jared Ebert,DT,Iowa City,IA,6'4'',285,,,Oregon,,,,2011,Oregon,,
Thomas Tyner,RB,Aloha,OR,6'0'',205,5,86,Oregon Ducks,6,7,1,2013,Oregon,,
Evan Voeller,OG,West Linn,OR,6'5'',263,5,83,Oregon Ducks,9,26,2,2013,Oregon,,
Torrodney Prevot,DE,Houston,TX,6'3'',201,5,83,Oregon Ducks,236,,,2013,Oregon,,
Tyree Robinson,WR,San Diego,CA,6'3'',190,4,82,Oregon Ducks,42,37,29,2013,Oregon,,
Cameron Hunt,OG,Corona,CA,6'4'',267,4,82,Oregon Ducks,15,39,31,2013,Oregon,,
Danny Mattingly,ATH,Spokane,WA,6'5'',218,4,82,Oregon Ducks,34,,,2013,Oregon,,
Darren Carrington,WR,San Diego,CA,6'3'',184,4,81,Oregon Ducks,55,55,44,2013,Oregon,,
Tyrell Robinson,ATH,San Diego,CA,6'3'',210,4,80,Oregon Ducks,49,59,45,2013,Oregon,,
John Mundt,TE-Y,Modesto,CA,6'5'',235,4,78,Oregon Ducks,10,89,62,2013,Oregon,,
Matt Wogan,K,Indian Trail,NC,6'2'',195,4,78,Oregon Ducks,,,,2013,Oregon,,
Chris Seisay,ATH,American Canyon,CA,6'2'',177,4,77,Oregon Ducks,91,,,2013,Oregon,,
Joe Walker,OLB,Palos Verdes,CA,6'3'',230,4,77,Oregon Ducks,11," ""NR"""," ""NR""",2013,Oregon,,
Jake Pisarcik,OG,Medford,NJ,6'3'',278,4,76,Oregon Ducks,51,,,2013,Oregon,,
Juwaan Williams,ATH,Tucker,GA,6'1'',180,4,76,Oregon Ducks,110,,,2013,Oregon,,
Damion Hobbs,QB-PP,Cedar Hill,TX,6'3'',220,4,75,Oregon Ducks,48,,,2013,Oregon,,
Devon Allen,WR,Phoenix,AZ,6'0'',187,3,74,Oregon Ducks,17,,,2013,Oregon,,
Elijah George,OT,Las Vegas,NV,6'3'',239,3,71,Oregon Ducks,,,,2013,Oregon,,
Doug Brenner,ATH,Portland,OR,6'2'',277,3,71,Oregon Ducks,165,261,11,2013,Oregon,,
Kani Benoit,RB,Phoenix,AZ,5'11'',198,NR,UNSWORN,,,,,2013,Oregon,,
Terry Wilson,QB,Del City,OK,6'3'',187,83.0,Oregon,,6,,,2016,Oregon,18,2
Tristen Wallace,ATH,DeSoto,TX,6'3'',228,82.0,Oregon,,11,,,2016,Oregon,,
Bryson Young,DE,Clovis,CA,6'4'',220,80.0,Oregon,,39,,,2016,Oregon,47,39
Darrian Franklin,OLB,Downey,CA,6'1'',209,80.0,Oregon,,23,,,2016,Oregon,,
LaMar Winston Jr.,OLB,Portland,OR,6'2'',211,79.0,Oregon,,25,,,2016,Oregon,,
Hunter Kampmoyer,DE,Bishop,CA,6'5'',241,79.0,Oregon,,52,,,2016,Oregon,,
Cam McCormick,TE,Bend,OR,6'5'',224,79.0,Oregon,,13,,,2016,Oregon,,
A.J. Hotchkins,ILB,Tigard,OR,6'0'',230,79.0,Oregon,,2,,,2016,Oregon,,
Troy Dye,S,Norco,CA,6'3'',211,78.0,Oregon,,41,,,2016,Oregon,84,63
Dillon Mitchell,WR,Memphis,TN,6'1'',191,78.0,Oregon,,104,,,2016,Oregon,,
Justin Herbert,QB,Eugene,OR,6'4'',210,78.0,Oregon,,26,,,2016,Oregon,,
Brady Breeze,S,Portland,OR,5'11'',188,78.0,Oregon,,5,,,2016,Oregon,91,5
Logan Bathke,OT,Orange,CA,6'5'',255,78.0,Oregon,,52,,,2016,Oregon,,
Wayne Kirby,DT,Pocatello,ID,6'3'',290,76.0,Oregon,,59,,,2016,Oregon,,
Keith Simms,OLB,Bethesda,MD,6'3'',220,76.0,Oregon,,46,,,2016,Oregon,105,22
Eric Briscoe Jr.,OLB,Yakima,WA,6'2'',215,75.0,Oregon,,54,,,2016,Oregon,,
Samuelu Poutasi,OG,Las Vegas,NV,6'4'',310,73.0,Oregon,,77,,,2016,Oregon,186,2
Dakota Prukop,QB-DT,Austin,TX,6'2'',200,,Oregon,,,,,2016,Oregon, None, None
Ratu Mafileo,DT,Honolulu,HI,6'3'',285,,Oregon,,NR,,,2016,Oregon, NR, NR
Jalen Hall,WR,Long Beach,CA,6'3'',186,5.0,85,Oregon,9,9,4,2018,Oregon,,
Adrian Jackson,OLB,Denver,CO,6'3'',207,4.0,84,Oregon,4,,,2018,Oregon,,
Steve Stephens,SFresno,CA,6'0'',187,7,84.0,Oregon,,7,,,2018,Oregon,,
Dawson Jaramillo,OT,Lake Oswego,OR,6'5'',297,10.0,84,Oregon,10,21,1,2018,Oregon,,
Penei Sewell,OG,Saint George,UT,6'6'',349,6.0,84,Oregon,6,,,2018,Oregon,,
Jevon Holland,ATH,Oakland,CA,6'1'',180,12.0,83,Oregon,12,,,2018,Oregon,,
Jamal Elliott,RB,Durham,NC,5'11'',170,13.0,82,Oregon,13,105,7,2018,Oregon,,
Spencer Webb,TE-S,Sacramento,CA,6'6'',222,6.0,81,Oregon,6,,,2018,Oregon,,
Tyler Shough,QB-PP,Chandler,AZ,6'5'',187,15.0,81,Oregon,15,49,2,2018,Oregon,,
Steven Jones,OG,Temecula,CA,6'6'',358,14.0,81,Oregon,14,,,2018,Oregon,,
Isaah Crocker,WR,Sacramento,CA,6'1'',163,43.0,81,Oregon,274,51,33,2018,Oregon,,
Haki Woods,S (JC),Tucson,AZ,6'2'',195,5.0,79,Oregon,5,,,2018,Oregon,,
Verone McKinley III,CB,Carrollton,TX,5'10'',171,51.0,79,Oregon,51,110,86,2018,Oregon,,
Justin Johnson,OT,Philadelphia,PA,6'6'',340,63.0,78,Oregon,63,85,20,2018,Oregon,,
Andrew Johnson,DE,Tifton,GA,6'2'',225,71.0,78,Oregon,71,,,2018,Oregon,,
Chris Randazzo,OG,Chino,CA,6'6'',340,43.0,78,Oregon,43,114,72,2018,Oregon,,
Andrew Faoliu,DE,Santa Ana,CA,6'3'',255,78.0,77,Oregon,78,,,2018,Oregon,,
Sione Vea-Kava,DE,Monterey,CA,6'5'',270,88.0,77,Oregon,134,,,2018,Oregon,,
M.J. Cunningham,OLB,Portland,OR,6'2'',220,62.0,76,Oregon,62,,,2018,Oregon,,
Kahlef Hailassie,CB,Elk Grove,CA,6'2'',179,81.0,76,Oregon,165,,,2018,Oregon,,
Travis Dye,RB,Norco,CA,5'11'',188,72.0,75,Oregon,72,,,2018,Oregon,,
Karsten Battles,LS,San Antonio,TX,6'1'',240,4.0,68,Oregon,4,,,2018,Oregon,,
Juwan Tucker,WR,Harbor City,CA,6'1'',175,,Oregon,,,,,2018,Oregon,,
D.J. Johnson,DE (TR),Coral Gables,FL,6'5'',240,,Oregon,,,,,2018,Oregon,,
Kayvon Thibodeaux,DE,Westlake Village,CA,6'5'',234,4,92,Oregon,1,1,1,2019,Oregon,,
Mykael Wright,CB,Lancaster,CA,5'11'',179,4,86,Oregon,,,,2019,Oregon,,
Mase Funa,OLB,Santa Ana,CA,6'2'',245,4,85,Oregon,5,8,7,2019,Oregon,,
Lance Wilhoite,WR,Nashville,TN,6'2'',180,4,84,Oregon,12,44,1,2019,Oregon,,
Jonah Tauanu'u,OT,Harbor City,CA,6'6'',317,4,84,Oregon,144,,,2019,Oregon,,
Ge'Mon Eaford,OLB,Deerfield Beach,FL,6'1'',217,4,84,Oregon,164,,,2019,Oregon,,
Mycah Pittman,WR,Calabasas,CA,5'11'',200,3,83,Oregon,32,120,37,2019,Oregon,,
Sean Dollars,RB,Santa Ana,CA,5'9'',191,3,83,Oregon,1,,,2019,Oregon,,
Joshua Delgado,WR,Bradenton,FL,6'0'',181,3,81,Oregon,22,145,12,2019,Oregon,,
Malaesala Aumavae-Laulu,OG,Henderson,NV,6'6'',345,3,81,Oregon,25,,,2019,Oregon,,
Trikweze Bridges,S,Lanett,AL,6'3'',180,3,80,Oregon,61,,,2019,Oregon,,
Keyon Ware-Hudson,DT,Santa Ana,CA,6'2'',308,3,80,Oregon,12,71,3,2019,Oregon,,
Jaron Waters,WR,Oxnard,CA,6'3'',181,3,80,Oregon,31,,,2019,Oregon,,
Patrick Herbert,TE,Eugene,OR,6'5'',230,3,80,Oregon,19,,,2019,Oregon,,
Treven Ma'ae,DE,Las Vegas,NV,6'4'',236,3,80,Oregon,19,77,2,2019,Oregon,,
Kristian Williams,DT,Memphis,TN,6'2'',272,3,79,Oregon,65,250,80,2019,Oregon,,
Logan Sagapolu,OG,Lehi,UT,6'3'',344,3,79,Oregon,34,85,59,2019,Oregon,,
Cale Millen,QB,Snoqualmie,WA,6'4'',192,3,79,Oregon,94,,,2019,Oregon,,
Brandon Dorlus,DE,Deerfield Beach,FL,6'3'',256,3,79,Oregon,7,,,2019,Oregon,,
Jayvaun Wilson,RB,Valencia,CA,6'1'',210,3,79,Oregon,77,,,2019,Oregon,,
Sua'ava Poti,DT,Bellflower,CA,6'3'',285,3,78,Oregon,10,524,49,2019,Oregon,,
Isaac Townsend,DE,Arvada,CO,6'6'',235,3,78,Oregon,114,584,48,2019,Oregon,,
Dru Mathis,OLB,Ventura,CA,6'3'',235,3,77,Oregon,,,,2019,Oregon,,
Jamal Hill,S,Morrow,GA,6'2'',190,3,77,Oregon,,,,2019,Oregon,,
Camden Lewis,K,Cornelius,NC,5'11'',185,3,75,Oregon,,,,2019,Oregon,,
D.J. James,CB,Spanish Fort,AL,5'10'',170,3,74,Oregon,,,,2019,Oregon,,
Justin Flowe,ILB,Upland,CA,6'2'',225,91,Oregon,,1,,,2020,Oregon,3,2
