Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School  
Matt Dooley,TE,Scottsdale,AZ,6'4'',250,Indiana,,,,,2011,Indiana,,,NR,
Stephen Houston,RB,West Chester,OH,5'10'',225,Indiana,,,,,2011,Indiana,,,NR,
Rashard Fant,ATH,Fairburn,GA,5'10'',165,83.0,Indiana,14,70,16,2013,Indiana,,,3.0,
Taj Williams,WR,Tallahassee,FL,6'4'',170,83.0,Indiana,224.0,,,2013,Indiana,,,3.0,
Darius Latham,DT,Indianapolis,IN,6'5'',291,82.0,Indiana,25,,,2013,Indiana,,,3.0,
David Kenney III,DE,Indianapolis,IN,6'2'',250,80.0,Indiana,33,,,2013,Indiana,,,3.0,
Antonio Allen,S,Indianapolis,IN,5'11'',200,80.0,Indiana,19,,,2013,Indiana,,,3.0,
Kristopher Smith,OLB,Flowery Branch,GA,6'1'',201,80.0,Indiana,41,,,2013,Indiana,,,3.0,
Noel Padmore,CB,Flowery Branch,GA,5'11'',170,78.0,Indiana,48,285,60,2013,Indiana,,,,
Daryl Chestnut,RB,Miami,FL,5'8'',185,77.0,Indiana,,,,2013,Indiana,,,,
Isaac Griffith,WR,Fort Wayne,IN,6'0'',180,77.0,Indiana,105,,,2013,Indiana,,,,
Maurice Swain,DT,LaGrange,GA,6'6'',300,77.0,Indiana,354,,,2013,Indiana,,,,
Laray Smith,RB,Staten Island,NY,6'0'',180,75.0,Indiana,96,,,2013,Indiana,,,,
Clyde Newton,ATH,Punta Gorda,FL,6'1'',201,75.0,Indiana,467,,,2013,Indiana,,,,
T.J. Simmons,ILB,Lakeland,FL,6'0'',220,74.0,Indiana,,,,2013,Indiana,,,,
Anthony Young,WR,Lakewood,OH,6'0'',170,71.0,Indiana,193,,,2013,Indiana,,,,
Marcus Oliver,ILB,Hamilton,OH,6'1'',211,71.0,Indiana,,,,2013,Indiana,,,,
Danny Friend,TE-Y,Morris,IL,6'5'',240,71.0,Indiana,37,,,2013,Indiana,,,,
Evan Jansen,TE-Y,Cincinnati,OH,6'4'',229,70.0,Indiana,41,207,88,2013,Indiana,,,,
Nate Hoff,DT (POST),Solon,OH,6'2'',320,70.0,Indiana,,,,2013,Indiana,,,,
Jordan Heiderman,DT (JC),Hoskins,NE,6'3'',280,69.0,Indiana,,,,2013,Indiana,,,,
Patrick Dougherty,DT,Aurora,OH,6'4'',250,69.0,Indiana,125,226,97,2013,Indiana,,,,
Myles Graham,RB,Hollywood,FL,5'11'',190,67.0,Indiana,146,720,276,2013,Indiana,,,,
Chase Dutra,ATH,Brownsburg,IN,6'1'',195,63.0,Indiana,196,270,31,2013,Indiana,,,,
Steven Funderburk,OLB (JC),Port Saint Lucie,FL,6'2'',225,,Indiana,,,,2013,Indiana,,,,
Christopher Cormier,DT (JC),Houston,TX,6'2'',315,,Indiana,,,,2013,Indiana,,,,
Dominique Booth,WR,Indianapolis,IN,6'0'',196.0,Indiana ,,31,26,2,2014,Indiana,,,82,
Will Dawkins,S,Vero Beach,FL,5'11'',195.0,Indiana ,,22,219,82,2014,Indiana,,,79,
Delroy Baker,OT,Ocala,FL,6'6'',259.0,Indiana ,,31,247,92,2014,Indiana,,,79,
Tony Fields,S,Tallahassee,FL,5'11'',207.0,Indiana ,,,,,2014,Indiana,,,78,
Nick Carovillano,DE,Cincinnati,OH,6'4'',230.0,Indiana ,,,,,2014,Indiana,,,77,
Tegray Scales,OLB,Cincinnati,OH,6'2'',215.0,Indiana ,,,,,2014,Indiana,,,77,
Tim Gardner,OT,Indianapolis,IN,6'4'',310.0,Indiana ,,,,,2014,Indiana,,,77,
Tommy Mister,RB,Chicago,IL,6'0'',196.0,Indiana ,,,,92.0,2014,Indiana,,,77,
Jermane Conyers,DT,Rossville,GA,6'2'',281.0,Indiana ,,445,,,2014,Indiana,,,75,
Wes Martin,OG,West Milton,OH,6'3'',295.0,Indiana ,,57,,,2014,Indiana,,,75,
Greg Gooch,ILB,Longwood,FL,6'2'',240.0,Indiana ,,42,,,2014,Indiana,,,74,
Dameon Willis Jr.,S,Cleveland,OH,6'1'',210.0,Indiana ,,101,171,73,2014,Indiana,,,74,
Simmie Cobbs,WR,Oak Park,IL,6'4'',185.0,Indiana ,,171,,,2014,Indiana,,,74,
Devine Redding,RB,Cleveland,OH,5'10'',187.0,Indiana ,,,,,2014,Indiana,,,74,
Michael Barwick,DT,Cincinnati,OH,6'0'',293.0,Indiana ,,105,,,2014,Indiana,,,73,
Donovan Clark,CB,Fort Wayne,IN,5'10'',170.0,Indiana ,,,,,2014,Indiana,,,73,
