Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
T.J. Lynch,DE,Hephzibah,GA,6'4'',245,,Western Michigan,,NR,,,2009,Western Michigan,,,
Dallas Walker,TE,Madison,MS,6'6'',230,,Western Michigan,,,,,2009,Western Michigan,, None, None
Marcus Cann,OT,Bamberg,SC,6'5'',305,,Western Michigan,,NR,,,2009,Western Michigan,,,
Tevin Drake,RB,Brooksville,FL,5'11'',195,75.0,,,109, NR, NR,2010,Western Michigan,,,
Johnnie Simon,S,West Palm Beach,FL,,170,75.0,,,98,,,2010,Western Michigan,,,
Mike Perish,QB,Chicago,IL,6'2'',185,74.0,,,NR,NR,NR,2010,Western Michigan,,,
Nick Galvin,ILB,Cincinnati,OH,6'0'',215,72.0,,,NR,NR,NR,2010,Western Michigan,,,
Manny Diaz,DE,Hialeah,FL,6'2'',193,71.0,,,180,,,2010,Western Michigan,,,
Patrick Driscoll,DT,Lemont,IL,6'3'',270,71.0,,,,,,2010,Western Michigan,,,
Travonte Boles,DT,Vero Beach,FL,5'11'',312,71.0,,,148,,,2010,Western Michigan,,,
Ali Kassem,OT,Cincinnati,OH,6'5'',305,70.0,,,152,,,2010,Western Michigan,,,
Desmond Bozeman,ILB,Fort Lauderdale,FL,5'11'',216,70.0,,,,,,2010,Western Michigan,,,
Jon Hoffing,OG,Libertyville,IL,6'4'',294,69.0,,,69,189,,2010,Western Michigan,,,
Dareyon Chance,RB,Fort Lauderdale,FL,5'5'',150,65.0,,,278,,,2010,Western Michigan,,,
Demetrius Pettway,,Homestead,FL,5'11'',177,,,,,,,2010,Western Michigan,,,
Raheam Buxton,CB,Pahokee,FL,6'0'',171,,,,,,,2010,Western Michigan,,,
Garrett Smith,CB,Fort Lauderdale,FL,5'8'',159,,,,,,,2010,Western Michigan,,,
Zach Wynn,QB,Hudson,FL,6'2'',190,,,,,,,2010,Western Michigan,,,
Jonathan Henry,CB,Kentwood,MI,5'11'',165,,,,NR,,,2010,Western Michigan,,,
Matthew Finnin,OT,Crete,IL,6'6'',307,,,,,,,2010,Western Michigan,,,
Weston Ross,RB,Wheeling,IL,5'11'',183,,,,NR,NR,NR,2010,Western Michigan,,,
Mike Liedke,DE,Woodstock,IL,6'4'',240,,,,,,,2010,Western Michigan,,,
Michael Johnson,QB,Clinton Township,MI,6'1'',200,,,,NR,NR,NR,2010,Western Michigan,,,
Peter Terrana,TE,Saint Petersburg,FL,6'3'',215,,,,,,,2010,Western Michigan,,,
Maurice Roberts,ATH,Immokalee,FL,6'0'',180,,,,NR,NR,NR,2010,Western Michigan,,,
