Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,,69.0,Virginia,,,,2013,Virginia,,
Steve Jones,CB,Kansas City,MO,,,,,Virginia,,,,2013,Virginia,,
Chad Gross,K,Suwanee,GA,,,,,Virginia,,,,2013,Virginia,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,,Virginia,,,,2013,Virginia,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,,64.0,Virginia,,,,2013,Virginia,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,,75.0,Virginia,,,,2013,Virginia,,
Joseph Reed,WR,Charlotte Ct.Hse.,VA,6'1'',205,,79,Virginia,79,49,11,2016,Virginia,,
Brennan Armstrong,QB-DT,Shelby,OH,6'2'',210,80,Florida,,14,16,8,2018,Virginia,,
Jordan Redmond,DT,Seminole,FL,6'1'',292,78,Air Force,,55,296,111,2018,Virginia,,
Ugo Obasi,WR,Baltimore,MD,6'0'',175,78,Army,,138,,,2018,Virginia,,
Wooby Theork-Youmans,ATH,Naples,FL,5'9'',162,78,Fresno State,,54,,,2018,Virginia,,
Javar Garrett,OLB,Carneys Point,NJ,6'2'',208,78,Oklahoma,,42,,,2018,Virginia,,
Samson Reed,DE,Kahuku,HI,6'2'',249,77,Wisconsin,,90,,,2018,Virginia,,
Joseph Bissinger,OG,Houston,TX,6'4'',291,77,Texas,,53,174,140,2018,Virginia,,
Tavares Kelly,ATH,Fort Lauderdale,FL,5'7'',150,77,Florida,,,,,2018,Virginia,,
Hunter Pearson,K,Seneca,SC,6'3'',195,76,USC,,14,,,2018,Virginia,,
Noah Taylor,ATH,Rockville,MD,6'5'',182,76,Navy,,121,,,2018,Virginia,,
Jaylon Baker,CB,Chattanooga,TN,6'1'',170,75,Georgia,,99,519,37,2018,Virginia,,
Bobby Haskins,TE-Y,Princeton,NJ,6'6'',240,75,Rutgers,,32,130,26,2018,Virginia,,
Grant Misch,DE,Sterling,VA,6'5'',235,75,Michigan,,108,,,2018,Virginia,,
Joseph White,S,Virginia Beach,VA,6'1'',175,75,Virginia,,135,76,21,2018,Virginia,,
Bryce Perkins,QB-DT,Chandler,AZ,6'2'',215,74,Virginia,,10, NR, NR,2018,Virginia,,
