Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School,University  , State_rank 
Bennie Browne,TE,Cincinnati,OH,6'6'',245,NC State,,33,81,38,2011,North Carolina State,,,78,,,
Niklas Sade,K,Raleigh,NC,6'2'',190,NC State,,14,,,2011,North Carolina State,,,78,,,
Maurice Morgan,RB,La Grange,NC,6'1'',212,NC State,,76,,,2011,North Carolina State,,,76,,,
Michael Rose,ATH,Simpsonville,SC,6'3'',215,NC State,,115,,,2011,North Carolina State,,,76,,,
Hakim Jones,ATH,Henderson,NC,6'1'',190,NC State,,121,178,,2011,North Carolina State,,,76,,,
Alex Barr,OT,Fayetteville,GA,6'6'',274,NC State,,102,,,2011,North Carolina State,,,76,,,
Brian Taylor,QB,Angier,NC,6'2'',200,NC State,,,,,2011,North Carolina State,,,74,,,
Brandon Pittman,OLB,Raleigh,NC,6'2'',200,NC State,,143,262,,2011,North Carolina State,,,74,,,
Rodman Noel,S,POST,Everett,MA,6'3'',74,NC State,,,,2011,North Carolina State,,,205,,,
Joe Thuney,OT,Kettering,OH,6'5'',245,NC State,,168,,,2011,North Carolina State,,,72,,,
Scott Thompson,ATH,Mission Viejo,CA,5'11'',220,NC State,,217,,,2011,North Carolina State,,,71,,,
Dave Mann,DE,Lithonia,GA,6'3'',230,NC State,,238, None, None,2011,North Carolina State,,,NR,,,
Michael Peek,OLB,Loganville,GA,6'1'',201,NC State,,217,,,2011,North Carolina State,,,NR,,,
Carlos Gray,DT,Pinson,AL,6'3'',320,NC State,,,,,2011,North Carolina State,,,NR,,,
Ty McGill,DT,Jesup,GA,6'1'',275,NC State,,180,,,2011,North Carolina State,,,NR,,,
Tyrrell Burriss,CB,Daytona Beach,FL,5'11'',180,NC State,,128,,,2011,North Carolina State,,,NR,,,
McKay Frandsen,DE,POST,American Fork,UT,6'3'',NR,NC State,,,,2011,North Carolina State,,,250,,,
Kenderius Whitehead,DE,Lithonia,GA,6'4'',220,,,31,,,2012,North Carolina State,133,29,79.0,,,
Tyler Knox,DE,Myrtle Beach,SC,6'4'',225,NC State,,49,,,2012,North Carolina State,,,79.0,,,
Quincy McKinney,OG,Columbus,GA,6'3'',315,NC State,,11,,,2012,North Carolina State,,,78.0,,,
Jarnor Jones,S,Lithonia,GA,6'3'',195,NC State,,,,,2012,North Carolina State,,,78.0,,,
Bryce Kennedy,OG,Southern Pines,NC,6'2'',285,NC State,,44,,,2012,North Carolina State,,,78.0,,,
Shadrach Thornton,RB,Hinesville,GA,6'0'',200,NC State,,38,,,2012,North Carolina State,325,74,77.0,,,
Eddie Gordon,OG,Boiling Springs,SC,6'2'',310,NC State,,,,,2012,North Carolina State, None, None,77.0,,,
Xavier Griffin,WR,Newark,DE,6'2'',178,NC State,,101,,,2012,North Carolina State,100,1,77.0,,,
K'Hadree Hooker,DT,Deep Run,NC,6'2'',270,NC State,,45,,,2012,North Carolina State,422,38,77.0,,,
Majid Salahuddin,S,Fayetteville,NC,6'2'',190,NC State,,117,,,2012,North Carolina State,437,,76.0,,,
Desmond Owino,DE,Raleigh,NC,6'5'',235,NC State,,133,,,2012,North Carolina State,494,45,76.0,,,
Joe Wright,OLB,Raleigh,NC,6'3'',228,NC State,,164,,,2012,North Carolina State,,,75.0,,,
Manny Stocker,QB,Coatesville,PA,6'1'',190,NC State,,,,,2012,North Carolina State,,,75.0,,,
Josh Sessoms,S,Bailey,NC,6'2'',185,NC State,,,,,2012,North Carolina State,,,75.0,,,
David Grinnage,TE,Newark,DE,6'5'',238,NC State,,,,,2012,North Carolina State, None, None,74.0,,,
Niles Clark,CB,Marietta,GA,5'11'',175,NC State,,101,,,2012,North Carolina State,203,34,74.0,,,
John Tu'uta,OC,Fredericksburg,VA,6'3'',310,NC State,,,,,2012,North Carolina State, None, None,74.0,,,
Marchez Coates,CB,Pomfret,MD,5'11'',170,NC State,,,,,2012,North Carolina State, None, None,74.0,,,
Charlie Hegedus,WR,Marietta,GA,6'1'',190,NC State,,NR,,,2012,North Carolina State,,,73.0,,,
Deylan Buntyn,DT,Havelock,NC,6'4'',335,NC State,,,,,2012,North Carolina State, None, None,,,,
Robert Caldwell,ILB,Palm Desert,CA,6'3'',245,NC State,,,,,2012,North Carolina State,,,,,,
Pete Thomas,QB,El Cajon,CA,6'5'',225,NC State,,,,,2012,North Carolina State,,,,,,
Tim Buckley,S,Raleigh,NC,6'0'',202,NC State,,,,,2012,North Carolina State,,,,,,
Kentavius Street,DE,Greenville,NC,6'2'',265.0,84,NC State,7,39,4,2014,North Carolina State,,,4.0,,,
William Richardson,OG,Burlington,NC,,,81,NC State,16,,,2014,North Carolina State,,,,,,
Troy Vincent Jr.,ATH,Baltimore,MD,5'9'',189.0,80,NC State,,,,2014,North Carolina State,,,,,,
Jalan McClendon,QB-PP,Charlotte,NC,6'4'',195.0,80,NC State,20,196,16,2014,North Carolina State,,,,,,
Justin Jones,DT,Austell,GA,6'3'',258.0,80,NC State,38,211,,2014,North Carolina State,,,,,,
Ty Linton,OLB,Charlotte,North Carolina,6'2'',235.0,79,NC State,,,,2014,North Carolina State,,,,,,
Kalen McCain,S,Durham,NC,6'1'',176.0,79,NC State,27,,,2014,North Carolina State,,,,,,
Tyler Jones,OT,Stone Mountain,GA,6'3'',287.0,79,NC State,33,,,2014,North Carolina State,,,,,,
Maurice Trowell,WR,Durham,NC,5'11'',173.0,78,NC State,,,,2014,North Carolina State,,,,,,
Coult Culler,OLB,Wilmington,NC,6'4'',225.0,78,NC State,47,273,25,2014,North Carolina State,,,,,,
B.J. Hill,DE,Oakboro,NC,6'3'',240.0,78,NC State,50,,,2014,North Carolina State,,,,,,
Elliott Davis,ATH,Gaithersburg,MD,6'0'',175.0,78,NC State,67,,,2014,North Carolina State,,,,,,
Cole Cook,TE-Y,Carrollton,GA,6'6'',230.0,77,NC State,20,,,2014,North Carolina State,,,,,,
Bradley Chubb,OLB,Powder Springs,GA,6'4'',225.0,77,NC State,61,326,62,2014,North Carolina State,,,,,,
Airius Moore,OLB,Beavercreek,OH,6'0'',224.0,77,NC State,,,,2014,North Carolina State,,,,,,
Tony Adams,OG,Charlotte,NC,6'1'',315.0,77,NC State,45,354,30,2014,North Carolina State,,,,,,
Bo Hines,WR,Charlotte,NC,6'1'',190.0,76,NC State,123,391,33,2014,North Carolina State,,,,,,
Dexter Wright,S,Wilson,NC,6'2'',205.0,76,NC State,71,,,2014,North Carolina State,,,,,,
Germaine Pratt,S,High Point,NC,6'3'',190.0,76,NC State,,,,2014,North Carolina State,,,,,,
Kyle Bambard,K,Walled Lake,MI,5'9'',160.0,76,NC State,12,,,2014,North Carolina State,,,,,,
Shawn Boone,S,Palm Beach Gardens,FL,5'10'',176.0,75,NC State,,,,2014,North Carolina State,,,,,,
Marcelias Sutton,RB,Warsaw,NC,5'8'',171.0,75,NC State,113,,,2014,North Carolina State,,,,,,
Jaylen Samuels,ATH,Charlotte,NC,6'0'',220.0,75,NC State,100,,,2014,North Carolina State,,,,,,
A.J. Cole,K,College Park,GA,6'4'',210.0,75,NC State,19,,,2014,North Carolina State,,,,,,
Deshaywn Middleton,DT,Winston-Salem,NC,6'2'',302.0,74,NC State,508,,,2014,North Carolina State,,,,,,
Micah Till,TE-Y,Upper Marlboro,MD,6'5'',260.0,74,NC State,6,,,2014,North Carolina State,,,,,,
Deonte Holden,DE,Hyattsville,MD,6'4'',213.0,74,NC State,114,,,2014,North Carolina State,,,,,,
Terronne Prescod,OG,Decatur,GA,6'6'',336.0,73,NC State,,,,2014,North Carolina State,,,,,,
Eric Shute,OG,Glen Ellyn,IL,6'4'',275.0,73,NC State,82,197,42,2014,North Carolina State,,,,,,
Stephen Louis,ATH,West Palm Beach,FL,6'0'',193.0,72,NC State,,,,2014,North Carolina State,,,,,,
Mike Stevens,ATH,Davidson,NC,5'11'',181.0,72,NC State,172,,,2014,North Carolina State,,,,,,
Garrett Bradbury,TE-Y,Charlotte,NC,6'3'',240.0,69,NC State,54,,,2014,North Carolina State,,,,,,
R.C. Brunstetter,LS,Mocksville,NC,6'2'',225.0,NR,NC State,NR,NR,NR,2014,North Carolina State,,,,,,
Thaddeus Moss,TE,Charlotte,NC,6'4'',240,NC State,,5,,,2016,North Carolina State,171,12,80,,,
