Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School
Onaje Miller,RB,Lansing,MI,5'10'',185,MICHIGAN STATE,,40,,,2011,Michigan State,78.0,,,
Taiwan Jones,ATH,Fair Haven,MI,6'2'',210,MICHIGAN STATE,,73,,,2011,Michigan State,78.0,,,
Matt Ramondo,DT,Las Cruces,NM,6'5'',280,MICHIGAN STATE,,77,59, NR,2011,Michigan State,77.0,,,
Shilique Calhoun,DE,Middletown,NJ,6'4'',225,MICHIGAN STATE,,, None, None ,2011,Michigan State,77.0,,,
Edward Davis,OLB,Detroit,MI,6'3'',215,MICHIGAN STATE,,86,115, None,2011,Michigan State,77.0,,,
Joel Heath,DE,Cincinnati,OH,6'5'',235,MICHIGAN STATE,,107,,,2011,Michigan State,76.0,,,
Damon Knox,DE,Muskegon,MI,6'4'',255,MICHIGAN STATE,,109,,,2011,Michigan State,76.0,,,
Connor Cook,QB,Cuyahoga Falls,OH,6'3'',200,MICHIGAN STATE,,57,129,58,2011,Michigan State,76.0,,,
Mark Scarpinato,DT,Milwaukee,WI,6'3'',245,MICHIGAN STATE,,132,,,2011,Michigan State,76.0,,,
Brandon Clemons,OG,Milford,PA,6'3'',260,MICHIGAN STATE,,53,,,2011,Michigan State,76.0,,,
Arjen Colquhoun,S,Windsor,ON,CAN,6'1'',76,MICHIGAN STATE,62, None, None,2011,Michigan State,179.0,,,
Trae Waynes,S,Kenosha,WI,5'11'',158,MICHIGAN STATE,,,,,2011,Michigan State,75.0,,,
Paul Lang,DE,Pittsburgh,PA,6'4'',220,MICHIGAN STATE,,227,,,2011,Michigan State,68.0,,,
Fou Fonoti,OT,Norwalk,CA,6'4'',295,MICHIGAN STATE,,, NR, NR,2011,Michigan State,,,,
Malik McDowell,DT,Southfield,MI,6'6'',260,Michigan State,,5,4,2,2014,Michigan State,84.0,,,
Montae Nicholson,ATH,Monroeville,PA,6'2'',210,Michigan State,,30,,,2014,Michigan State,82.0,,,
Brian Allen,OC,Hinsdale,IL,6'1'',287,Michigan State,,4,,,2014,Michigan State,82.0,,,
Gerald Owens,FB,Westville,NJ,6'2'',248,Michigan State,,1,32,10,2014,Michigan State,81.0,,,
Byron Bullough,ATH,Traverse City,MI,6'1'',200,Michigan State,,48,40,6,2014,Michigan State,80.0,,,
Enoch Smith Jr.,DT,Chicago,IL,6'2'',280,Michigan State,,32,,,2014,Michigan State,80.0,,,
Craig Evans,DT,Sun Prairie,WI,6'3'',305,Michigan State,,34,,,2014,Michigan State,80.0,,,
Matt Sokol,ATH,Rochester Hills,MI,6'5'',225,Michigan State,,59,61,10,2014,Michigan State,79.0,,,
Jake Hartbarger,K,Whitehouse,OH,6'3'',171,Michigan State,,4,,,2014,Michigan State,78.0,,,
Vayante Copeland,RB,Dayton,OH,6'0'',190,Michigan State,,71,76,31,2014,Michigan State,77.0,,,
T.J. Harrell,ATH,Tampa,FL,6'0'',197,Michigan State,,, None, None,2014,Michigan State,77.0,,,
Madre London,RB,Fort Lauderdale,FL,6'2'',202,Michigan State,,76,,,2014,Michigan State,77.0,,,
Jalen Watts-Jackson,CB,Orchard Lake,MI,5'11'',170,Michigan State,,33,,,2014,Michigan State,77.0,,,
Robert Bowers,DE,Columbus,OH,6'5'',210,Michigan State,,72,97,40,2014,Michigan State,77.0,,,
Deon Drake Jr.,ILB,Detroit,MI,5'11'',205,Michigan State,,34,134,21,2014,Michigan State,75.0,,,
Miguel Machado,OT,6'6'',290,75,Michigan State,,,16,,,2014,Michigan State,,,,
Matt Morrissey,S,Lincolnshire,IL,6'1'',185,Michigan State,,88,,,2014,Michigan State,75.0,,,
David Beedle,DT,Clarkston,MI,6'6'',285,Michigan State,,90,,,2014,Michigan State,75.0,,,
Chris Frey Jr.,OLB,Columbus,OH,6'2'',214,Michigan State,,111,,,2014,Michigan State,74.0,,,
Nicholas Padla,OT,Berrien Springs,MI,6'6'',269,Michigan State,,106,164,26,2014,Michigan State,74.0,,,
Montez Sweat,TE-H,Stone Mountain,GA,6'6'',225,Michigan State,,26,,,2014,Michigan State,74.0,,,
Chase Gianacakos,OT,Saint Charles,IL,6'5'',291,Michigan State,,, None, None,2014,Michigan State,73.0,,,
Casey Schreiner,OG,Bethel Park,PA,6'4'',280,Michigan State,,NR,,,2014,Michigan State,,,,
Kevin Jarvis,OG,Park Ridge,IL,6'5'',340,Michigan State,,19,21,5,2017,Michigan State,81.0,,,
Antjuan Simmons,OLB,Ann Arbor,MI,6'1'',209,Michigan State,,20,,,2017,Michigan State,80.0,,,
Rocky Lombardi,QB-DT,West Des Moines,IA,6'4'',215,Michigan State,,12,29,2,2017,Michigan State,80.0,,,
Hunter Rison,WR,Ann Arbor,MI,5'11'',197,Michigan State,,50,31,9,2017,Michigan State,80.0,,,
Lashawn Paulino-Bell,DE,Fort Lauderdale,FL,6'4'',240,Michigan State,,33,192,64,2017,Michigan State,80.0,,,
Jordan Reid,OG,Detroit,MI,6'5'',300,Michigan State,,28,45,12,2017,Michigan State,79.0,,,
Matt Dotson,TE-Y,Cincinnati,OH,6'5'',232,Michigan State,,13,46,18,2017,Michigan State,79.0,,,
Jacub Panasiuk,DT,Roselle,IL,6'3'',266,Michigan State,,44,52,7,2017,Michigan State,79.0,,,
