Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School
Scheyenne Sanitoa,S,Pago Pago,AS,6'0'',185,NR,,NR,NR,NR,2016,Hawaii,,,,Samoana
Marcus Armstrong-Brown,WR (JC),Pleasant Hill,CA,6'1'',195,NR,,,,,2016,Hawaii,,,,Diablo Valley College
Fred Ulu-Perry,OG (TR),Honolulu,HI,6'2'',305,TR,,,,,2016,Hawaii,,,,University of California at Los Angeles
Jamie Tago,DE,Pago Pago,AS,6'2'',245,78.0,Hawai'i,15,,,2017,Hawaii,,,,
Donovan Dalton,WR,Scottsdale,AZ,6'3'',200,72.0,Hawai'i,198,203,26,2017,Hawaii,,,,
Paul Scott,OLB,Oakland,CA,6'1'',192,71.0,Hawai'i,111,,,2017,Hawaii,,,,
Hekili Keliiliki,FB,Bentonville,AR,6'1'',222,,Hawai'i,,,,2017,Hawaii,,,,
Blessman Taala,OG,Pago Pago,AS,6'3'',270,,Hawai'i,NR,,,2017,Hawaii,,,,
Miles Reed,RB,Corona,CA,5'9'',190,,Hawai'i,,,,2017,Hawaii,,,,
Anthony Mermea,DT,Murrieta,CA,6'2'',278,,Hawai'i,,,,2017,Hawaii,,,,
Drake Stallworth,WR,Folsom,CA,6'1'',183,,Hawai'i,,,,2017,Hawaii,,,,
Akil Francisco,S,Alameda,CA,6'0'',151,,Hawai'i,,,,2017,Hawaii,,,,
Isaia Mullen,WR,Portland,OR,6'3'',190,,Hawai'i,,,,2017,Hawaii,,,,
Penei Pavihi,ILB,Pago Pago,AS,6'2'',216,,Hawai'i,,,,2017,Hawaii,,,,
Kade Greeley,TE-Y,Murrieta,CA,6'5'',210,,Hawai'i,,,,2017,Hawaii,,,,
Damario McLean,CB,Elk Grove,CA,6'1'',185,,Hawai'i,,,,2017,Hawaii,,,,
Ralph Taufa'asau,TE-H,Pago Pago,AS,6'4'',220,,Hawai'i,,,,2017,Hawaii,,,,
Micah Vanterpool,OT,Phoenix,AZ,6'5'',270,,Hawai'i,,,,2017,Hawaii,,,,
Brandon Kipper,OT,Nampa,ID,6'5'',260,,Hawai'i,,,,2017,Hawaii,,,,
Josiah Maama,DE,San Jose,CA,6'3'',240,,Hawai'i,,,,2017,Hawaii,,,,
Eneasi Kavapalu,OT,Canberra,AUS,6'6'',310,,Hawai'i,,,,2017,Hawaii,,,,
Doug Russell,DT,Seattle,WA,6'4'',270,,Hawai'i,,,,2017,Hawaii,,,,
Kalepo Naotala,DT,Newport News,VA,6'1'',275,,Hawai'i,,,,2017,Hawaii,,,,
