Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Jordan Johnson,ATH,Springfield,MA,5'10'',170,75.0,BYU,,91,,,2010,Brigham Young,185,NR
Graham Rowley,DT,Waialua,HI,6'3'',260,75.0,BYU,,73,,,2010,Brigham Young,,
Manu Mulitalo,OG,West Valley City,UT,6'3'',308,75.0,BYU,,,,,2010,Brigham Young,,
Bryan Sampson,TE,Pleasant Grove,UT,6'4'',210,75.0,BYU,,,,,2010,Brigham Young, None, None
Alani Fua,DE,Westlake Village,CA,6'5'',205,73.0,BYU,,17,,,2010,Brigham Young,340, None
Algrenon Brown,FB,Salt Lake City,UT,6'1'',215,72.0,BYU,,,,,2010,Brigham Young, None, None
Kori Gaines,S,Loganville,GA,5'9'',152,71.0,BYU,,,,,2010,Brigham Young, NR, NR
Travis Tuiloma,DT,Topeka,KS,6'3'',290,,BYU,,NR,,,2010,Brigham Young,,
Teu Kautai,ATH,Arlington,TX,6'1'',200,,BYU,,,,,2010,Brigham Young, None, None
Tayo Fabuluje Jr.,DE,Arlington,TX,6'5'',260,,BYU,,,,,2010,Brigham Young,,
Sae Tautu,OLB,Highland,UT,6'3'',210,,BYU,,,,,2010,Brigham Young,,
Jacob Hannemann,S,Highland,UT,6'1'',190,,BYU,,NR,,,2010,Brigham Young,,
Corby Eason,CB,Columbus,GA,5'9'',180,,BYU,,,,,2010,Brigham Young,,
Uona Kaveinga,ILB,Lawndale,CA,6'0'',245,,BYU,,,,,2010,Brigham Young,,
Colby Jorgensen,TE,Provo,UT,6'7'',215,78.0,BYU,,22,56,,2011,Brigham Young,,
Baker Pritchard,DE,South Jordan,UT,6'3'',250,78.0,BYU,,50,73,,2011,Brigham Young,,
Ryker Mathews,OT,American Fork,UT,6'6'',280,78.0,BYU,,49,,,2011,Brigham Young,,
Moses Kaumatule,DE,South Jordan,UT,6'1'',235,77.0,BYU,,91,,,2011,Brigham Young,,
Ului Lapuaho,OT,West Valley City,UT,6'5'',275,76.0,BYU,,99,145,NR,2011,Brigham Young,,
Stehly Reden,OG,Valley Center,CA,,6'4'',230.0,75,BYU,71,,,2011,Brigham Young,,
Kesni Tausinga,DT,South Jordan,UT,6'0'',260,73.0,BYU,,139,258, NR,2011,Brigham Young,,
Austin Heder,ILB,Pleasant Grove,UT,6'2'',235,72.0,BYU,,68,,,2011,Brigham Young,,
Manoa Pikula,ILB,South Jordan,UT,6'1'',235,72.0,BYU,,,,,2011,Brigham Young,,
Adam Pulsipher,ILB,Temecula,CA,,6'1'',213.0,70,BYU,82,343,212,2011,Brigham Young,,
Lene Lesatale,OLB,Cerritos,CA,,6'2'',245.0,69,BYU,184,,,2011,Brigham Young,,
Alex Kuresa,QB,Hyrum,UT,,6'0'',165.0,68,BYU,141,,,2011,Brigham Young,,
Corbin Kaufusi,DE,Provo,UT,6'6'',215,,NR,BYU,238,,,2011,Brigham Young,,
Brayden Kearsley,OT,Aloha,OR,6'5'',270,80.0,BYU,,31,,,2013,Brigham Young,57,3
Ma'ataua Brown,DT,Norwalk,CA,6'4'',320,79.0,BYU,,155,,,2013,Brigham Young,129,8
De'Ondre Wesley,OT,Pleasant Hill,CA,6'6'',310,78.0,BYU,,,,,2013,Brigham Young,168,7
Talon Shumway,WR,Highland,UT,6'3'',190,76.0,BYU,,61,,,2013,Brigham Young,175,7
Kuj Tapusoa,S,Kahuku,HI,5'11'',195,75.0,BYU,,,,,2013,Brigham Young, None, None
Dallin Leavitt,S,Portland,OR,5'10'',192,75.0,BYU,,,,,2013,Brigham Young, None, None
Inoke Lotulelei,WR,Salt Lake City,UT,5'8'',170,74.0,BYU,,,,,2013,Brigham Young, NR, NR
Merrill Taliauli,DT,Salt Lake City,UT,6'2'',300,74.0,BYU,,57,,,2013,Brigham Young,,
Trent Trammell,CB,Hayward,CA,5'11'',185,74.0,BYU,,,,,2013,Brigham Young, None, None
Billy Green,QB-PP,Seattle,WA,6'1'',191,74.0,BYU,,142,,,2013,Brigham Young,265,177
Trajan Pili,OLB,Las Vegas,NV,6'2'',215,73.0,BYU,,203,,,2013,Brigham Young,,
Addison Pulsipher,OT,Temecula,CA,6'5'',240,70.0,BYU,,286,,,2013,Brigham Young,,
Garrett England,WR,Salt Lake City,UT,6'3'',180,70.0,BYU,,45,,,2013,Brigham Young,,
Nathan DeBeikes,RB,Thousand Oaks,CA,6'1'',185,69.0,BYU,,115,,,2013,Brigham Young,291,19
Kaimana Nacua,QB-DT,Henderson,NV,6'1'',196,69.0,BYU,,149,,,2013,Brigham Young,,
Keegan Hicks,OG,South Jordan,UT,6'2'',265,69.0,BYU,,20,,,2013,Brigham Young,292,102
Thomas Shoaf,OT,Columbus,IN,6'5'',255,68.0,BYU,,144,,,2013,Brigham Young,,
Francis Bernard,S,Herriman,UT,6'0'',206,68.0,BYU,,77,,,2013,Brigham Young,,
Rylee Gautavai,OLB,Bountiful,UT,6'0'',201,68.0,BYU,,,,,2013,Brigham Young, None, None
Chasen Andersen,ILB,Logan,UT,6'0'',215,67.0,BYU,,,,,2013,Brigham Young, None, None
Patrick Palau,ILB,Salt Lake City,UT,5'11'',240,67.0,BYU,,NR,,,2013,Brigham Young,,
Moroni Laulu-Pututau,WR,Hyrum,UT,6'3'',190,,BYU,,NR,,,2013,Brigham Young,,
JonRyheem Peoples,DT,Rigby,ID,6'6'',298,,BYU,,,,,2013,Brigham Young,,
Michael Davis,WR,Glendale,CA,6'1'',180,,BYU,,NR,,,2013,Brigham Young,,
Jordan Preator,S,Ogden,UT,5'11'',180,,BYU,,,,,2013,Brigham Young, None, None
Kalolo Manumaleuna Utu,ILB,Compton,CA,6'2'',250,,BYU,,,,,2013,Brigham Young, None, None
Sam Lee,CB,Brandywine,MD,6'0'',180,,BYU,,,,,2013,Brigham Young, None, None
Josh Carter,OT,Tucson,AZ,6'5'',260,,BYU,,NR,,,2013,Brigham Young, NR, NR
Quincy Awa-Dubose,OC,Oxnard,CA,6'2'',310,,BYU,,,,,2013,Brigham Young, None, None
Edward Fusi,OG,Corona,CA,6'1'',285,,BYU,,,,,2013,Brigham Young,,
Tim Duran,OT,Puyallup,WA,6'4'',290,,BYU,,,,,2013,Brigham Young,,
Mika Tafue,DE,Honolulu,HI,6'3'',210,,81.0,BYU,47,70,46,2015,Brigham Young,,
Kieffer Longson,OT,San Ramon,CA,6'7'',301,,79.0,BYU,,,,2015,Brigham Young,,
Elias Miller,RB,North Las Vegas,NV,6'1'',181,,78.0,BYU,36,,,2015,Brigham Young,,
Beau Hoge,QB-PP,Fort Thomas,KY,6'1'',200,,77.0,BYU,144,,,2015,Brigham Young,,
Riley Burt,ATH,Brigham City,UT,6'1'',195,,77.0,BYU,165,84,109,2015,Brigham Young,,
David Lui,DE,Pittsburg,CA,6'3'',262,,76.0,BYU,82,171,13,2015,Brigham Young,,
Devin Kaufusi,OLB,Provo,UT,6'6'',200,,76.0,BYU,66,,,2015,Brigham Young,,
Tevita Mounga,DT,Murrieta,CA,6'1'',306,,76.0,BYU,47,,,2015,Brigham Young,,
Kody Wilstead,QB-PP,Saint George,UT,6'5'',192,,75.0,BYU,38,,,2015,Brigham Young,,
Jeremiah Ieremia,ILB,Hurricane,UT,6'1'',231,,75.0,BYU,113,183,16,2015,Brigham Young,,
Dayan Lake,ATH,Layton,UT,5'10'',186,,75.0,BYU,,,,2015,Brigham Young,,
Charles West,RB,Coppell,TX,5'9'',178,,74.0,BYU,119,,,2015,Brigham Young,,
Jacob Jimenez,OG,Pflugerville,TX,6'4'',265,,73.0,BYU,206,,,2015,Brigham Young,,
Akile Davis,WR,DeSoto,TX,6'1'',186,,71.0,BYU,148,276,24,2015,Brigham Young,,
Zayne Anderson,S,Tooele,UT,6'3'',194,,70.0,BYU,,,,2015,Brigham Young,,
Will Sedgwick,OLB,Laguna Hills,CA,6'1'',215,,,BYU,NR,NR,NR,2015,Brigham Young,,
J.J. Nwigwe,OG,Heath,TX,6'3'',247,,,BYU,,,,2015,Brigham Young,,
Micah Simon,QB-DT,Dallas,TX,6'0'',175,,,BYU,NR,,,2015,Brigham Young,,
