Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School
Brian Burrell,QB-PP,Bakersfield,CA,6'3'',205.0,,Fresno State,,,,2013,Fresno State,, None, None,
Mike Dunn,TE-H,Bakersfield,CA,6'3'',240.0,,Fresno State,,,,2013,Fresno State,, None, None,
Patrick Kim,OG,Chico,CA,6'3'',295.0,,Fresno State,,,,2013,Fresno State,, None, None,
Jerin McClendon,TE-Y,Phoenix,AZ,6'7'',265.0,,Fresno State,,,,2013,Fresno State,,,,
Kolby Drew,OT,San Marcos,CA,6'5'',280.0,,Fresno State,,,,2013,Fresno State,, None, None,
Curtis Riley,CB,Fullerton,CA,6'2'',190.0,,Fresno State,,,,2013,Fresno State,,,,
L.J. Reed,WR,Elk Grove,CA,6'3'',200,80,,49,,,2015,Fresno State,,62,40,Fresno State
Isaiah Trevino,OT,Kingsburg,CA,6'5'',320,77,,142,,,2015,Fresno State,,83,96,Fresno State
Don Greene,OG,Upland,CA,6'3'',262,77,,149,,,2015,Fresno State,,,,Fresno State
Nela Otukolo,ILB,Las Vegas,NV,6'0'',245,76,,33,,,2015,Fresno State,,161,5,Fresno State
Bryson Oglesby,RB,Sugar Land,TX,5'11'',189,76,,98,,,2015,Fresno State,,,,Fresno State
James Bailey,S,Austin,TX,6'0'',192,75,,,,,2015,Fresno State,, None, None,Fresno State
A.J. Greeley,CB,Fresno,CA,5'9'',181,74,,,,,2015,Fresno State,,,,Fresno State
Mike Bell,ATH,Perris,CA,6'3'',177,73,,,,,2015,Fresno State,, None, None,Fresno State
Jalen Smith,S,Houston,TX,5'10'',175,69,,,,,2015,Fresno State,, None, None,Fresno State
Quentin Davis,QB-PP,Bellflower,CA,6'1'',199,78,Fresno State,25,,,2016,Fresno State,,82,61,
Julian Polendo,OT,Palm Springs,CA,6'5'',335,74.0,Fresno State,123,187,103,2020,Fresno State,,,,
Joseph Church,OT,Upland,CA,6'5'',285,74.0,Fresno State,131,,,2020,Fresno State,,,,
Rory Hanson,TE,Modesto,CA,6'5'',250,74.0,Fresno State,7,,,2020,Fresno State,,,,
Matt Lowe,DE,Phelan,CA,6'5'',225,74.0,Fresno State,160,,,2020,Fresno State,,,,
Jamir Shepard,WR,Palo Alto,CA,6'2'',185,73.0,Fresno State,245,,,2020,Fresno State,,,,
Kamron Forest,CB,San Bernardino,CA,5'10'',165,73.0,Fresno State,137,,,2020,Fresno State,,,,
Da'Marcus Johnson,DE,Burbank,CA,6'3'',240,73.0,Fresno State,40,285,160,2020,Fresno State,,,,
Logan Fife,QB-DT,Tracy,CA,6'0'',200,72.0,Fresno State,,,,2020,Fresno State,,,,
Dupree Williams,S,Compton,CA,6'1'',175,72.0,Fresno State,165,314,177,2020,Fresno State,,,,
Malik Sherrod,ATH,,CA,5'8'',165,71.0,Fresno State,166,,,2020,Fresno State,,,,
Kosi Agina,ATH,Sanger,CA,5'11'',185,71.0,Fresno State,183,,,2020,Fresno State,,,,
C.J. Jones,CB,Clovis,CA,5'11'',170,71.0,Fresno State,328,,,2020,Fresno State,,,,
Mac Dalena,WR,Fresno,CA,5'10'',165,70.0,Fresno State,363,,,2020,Fresno State,,,,
Tyler Mello,ILB,Hanford,CA,6'3'',215,70.0,Fresno State,10,,,2020,Fresno State,,,,
