Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank
Dominic Christian,WR,Chicago,IL,6'0'',175.0,,Nevada,,NR, NR, NR,2015,Nevada,,
Cal Kee,S,Hampton,VA,6'1'',190.0,,Nevada,,NR, NR, NR,2015,Nevada,,
Gannon Laidlaw,OT,St. Helena,CA,6'5'',270.0,,Nevada,,, None, None,2015,Nevada,,
Evan Faunce,TE-Y,Indianapolis,IN,6'3'',225.0,,Nevada,,,,,2015,Nevada,,
Derrick Stom,OG,Pleasant Hill,CA,6'2'',295.0,,Nevada,,,,,2015,Nevada,,
Josiah Bradley,S,Scottsdale,AZ,6'1'',212.0,78.0,Nevada,,34,116,8,2018,Nevada,,
Toa Taua,ATH,Lompoc,CA,5'10'',207.0,75.0,Nevada,,94,178,113,2018,Nevada,,
Kevin Coblentz,OG,Bellflower,CA,6'3'',303.0,73.0,Nevada,,97,215,139,2018,Nevada,,
Romeo Doubs,ATH,Los Angeles,CA,6'2'',176.0,,Nevada,,,,,2018,Nevada,,
Kashan Griffin,WR,Apple Valley,CA,5'11'',170.0,,Nevada,,NR,,,2018,Nevada,,
Teyjohn Herrington,WR,Stockton,CA,6'0'',170.0,,Nevada,,,,,2018,Nevada,,
Cole Turner,TE,Clackamas,OR,6'7'',209.0,,Nevada,,NR, NR, NR,2018,Nevada,,
Carson Strong,QB,Vacaville,CA,6'3'',195.0,,Nevada,,,,,2018,Nevada,,
Cole Watts,OT,East Orem,UT,6'8'',295.0,,Nevada,,NR,,,2018,Nevada,,
Jaden Dedman,ATH,Upland,CA,5'11'',163.0,,Nevada,,NR, NR, NR,2018,Nevada,,
Giovanni Miranda,S,Scottsdale,AZ,6'3'',210.0,,Nevada,,,,,2018,Nevada,,
Jack Bolduc,OT,Gardena,CA,6'4'',230.0,,Nevada,,,,,2018,Nevada,,
